TEE , LSFBR , LOGICAL , 1
TEE , SPLN , TEXT , 120
TEE , SPLT , TEXT , 120
TEE , MTOR , REFERENCE , 20
TEE , CMPX , TEXT , 20
TEE , PTNO , INTEGER , 1
TEE , PTNT , INTEGER , 1
TEE , PTNB , INTEGER , 20
TEE , JNUM , INTEGER , 2
TEE , JOIP , WORD , 2
TEE , MTOC , WORD , 1
TEE , MTOT , WORD , 1
TEE , MTOX , INTEGER , 20
TEE , SPSP , TEXT , 2
TEE , DPFN , TEXT , 1024
TEE , DPGRID , INTEGER , 1
TEE , NWELDS , INTEGER , 1
TEE , DMTY , WORD , 2
TEE , DMFA , REFERENCE , 2
TEE , ORRF , REFERENCE , 1
TEE , INVF , REFERENCE , 500
TEE , RREF , REFERENCE , 500
TEE , RATM , WORD , 500
TEE , RATS , WORD , 500
TEE , BSEL , TEXT , 3
TEE , MATN , TEXT , 1000
TEE , RLOC , INTEGER , 1
TEE , RLIN , REFERENCE , 20
TEE , RLEX , REFERENCE , 20
TEE , HREL , LOGICAL , 1
TEE , SPKCHG , REFERENCE , 1
TEE , DELDSG , WORD , 1
TEE , INPRTR , REFERENCE , 1
TEE , OUPRTR , REFERENCE , 1
TEE , AEXCES , REAL , 1
TEE , LEXCES , REAL , 1
TEE , LOOS , LOGICAL , 1
TEE , UDATAB , INTEGER , 1000
TEE , UDAFTB , REFERENCE , 1000
TEE , UDASTB , TEXT , 1000
TEE , NOMDIR , DIRECTION , 3
TEE , SLODIR , REAL , 30
TEE , :ISOSHIPCOORD , TEXT , 120
TEE , :PFILoose , TEXT , 5
TEE , :PFILExcess , TEXT , 10
TEE , :PFIAExcess , TEXT , 10
TEE , :NodeType , REAL , 6
TEE , :NodeGap , REAL , 6
TEE , :NodeStiff , REAL , 6
TEE , :NodeFriction , REAL , 6
TEE , :PSILineNum , TEXT , 20
TEE , :PSILineColor , REAL , 1
TEE , :PSILineVisib , REAL , 1
TEE , :PSIWEIGHT , REAL , 1
TEE , :MDSComment , TEXT , 120
TEE , :MDSCp1 , TEXT , 120
TEE , :MDSCp2 , TEXT , 120
TEE , :MDSCp3 , TEXT , 120
TEE , :MDSVprmMto , LOGICAL , 1
FLAN , UDTYPE , INTEGER , 1
FLAN , TYPEX , INTEGER , 1
FLAN , NAME , TEXT , 500
FLAN , POS , POSITION , 3
FLAN , ORI , ORIENTATION , 3
FLAN , UNIPAR , WORD , 100
FLAN , DESP , REAL , 100
FLAN , BUIL , LOGICAL , 1
FLAN , SHOP , LOGICAL , 1
FLAN , ISOHIDDEN , LOGICAL , 1
FLAN , SPRE , REFERENCE , 1
FLAN , LSTU , REFERENCE , 1
FLAN , ARRI , INTEGER , 1
FLAN , LEAV , INTEGER , 1
FLAN , ORIF , LOGICAL , 1
FLAN , POSF , LOGICAL , 1
FLAN , ISPE , REFERENCE , 1
FLAN , TSPE , REFERENCE , 1
FLAN , LOOS , LOGICAL , 1
FLAN , HEIG , REAL , 1
FLAN , CREF , REFERENCE , 1
FLAN , SPAM , INTEGER , 1
FLAN , WDATUM , INTEGER , 6
FLAN , SPAM , INTEGER , 1
FLAN , CSFBR , LOGICAL , 1
FLAN , TSFBR , LOGICAL , 1
FLAN , ASFBR , LOGICAL , 1
FLAN , LSFBR , LOGICAL , 1
FLAN , SPLN , TEXT , 120
FLAN , SPLT , TEXT , 120
FLAN , MTOR , REFERENCE , 20
FLAN , CMPX , TEXT , 20
FLAN , PTNO , INTEGER , 1
FLAN , PTNT , INTEGER , 1
FLAN , PTNB , INTEGER , 20
FLAN , JNUM , INTEGER , 2
FLAN , JOIP , WORD , 2
FLAN , MTOC , WORD , 1
FLAN , MTOT , WORD , 1
FLAN , MTOX , INTEGER , 20
FLAN , SPSP , TEXT , 2
FLAN , DPFN , TEXT , 1024
FLAN , DPGRID , INTEGER , 1
FLAN , NWELDS , INTEGER , 1
FLAN , ALLO , REAL , 1
FLAN , ORRF , REFERENCE , 1
FLAN , INVF , REFERENCE , 500
FLAN , RREF , REFERENCE , 500
FLAN , RATM , WORD , 500
FLAN , RATS , WORD , 500
FLAN , BSEL , TEXT , 3
FLAN , MATN , TEXT , 1000
FLAN , RLOC , INTEGER , 1
FLAN , RLIN , REFERENCE , 20
FLAN , RLEX , REFERENCE , 20
FLAN , HREL , LOGICAL , 1
FLAN , SPKCHG , REFERENCE , 1
FLAN , DELDSG , WORD , 1
FLAN , INPRTR , REFERENCE , 1
FLAN , OUPRTR , REFERENCE , 1
FLAN , AEXCES , REAL , 1
FLAN , LEXCES , REAL , 1
FLAN , UDATAB , INTEGER , 1000
FLAN , UDAFTB , REFERENCE , 1000
FLAN , UDASTB , TEXT , 1000
FLAN , NOMDIR , DIRECTION , 3
FLAN , SLODIR , REAL , 30
FLAN , :ISOSHIPCOORD , TEXT , 120
FLAN , :ISOLOOSE , TEXT , 20
FLAN , :PFILoose , TEXT , 5
FLAN , :PFILExcess , TEXT , 10
FLAN , :PFIAExcess , TEXT , 10
FLAN , :NodeType , REAL , 6
FLAN , :NodeGap , REAL , 6
FLAN , :NodeStiff , REAL , 6
FLAN , :NodeFriction , REAL , 6
FLAN , :PSILineNum , TEXT , 20
FLAN , :PSILineColor , REAL , 1
FLAN , :PSILineVisib , REAL , 1
FLAN , :PSIWEIGHT , REAL , 1
FLAN , :MDSComment , TEXT , 120
FLAN , :MDSCp1 , TEXT , 120
FLAN , :MDSCp2 , TEXT , 120
FLAN , :MDSCp3 , TEXT , 120
FLAN , :MDSTrunNote1 , TEXT , 120
FLAN , :MDSTrunNote2 , TEXT , 120
FLAN , :MDSTubeNote1 , TEXT , 120
FLAN , :MDSTubeNote2 , TEXT , 120
FLAN , :MDSVprmMto , LOGICAL , 1
GASK , UDTYPE , INTEGER , 1
